#状態(0が生存、1が死亡),タイプ(0がプレイヤー、1が敵),名前,レベル,HP,最大HP,MP,最大MP,攻撃力,防御力,回避率,素早さ,クリティカル率,クリティカルダメージ,経験値ドロップ量
0,1,スライム,1,30,30,10,10,50,2,0.05,5,0.1,1.0,10
0,1,ゴブリン,2,50,50,20,20,100,5,0.1,10,0.15,1.5,20
0,1,オーク,3,80,80,30,30,150,10,0.05,8,0.1,1.5,30
0,1,ドラゴン,10,200,200,50,50,300,20,0.2,15,0.3,2.0,100
0,1,ゾンビ,4,60,60,15,15,80,5,0.1,12,0.2,1.8,25
0,1,デーモン,5,100,100,40,40,200,15,0.15,10,0.25,2.5,50
0,1,バンパイア,6,120,120,30,30,250,20,0.1,20,0.25,2.0,75
0,1,ゴーレム,7,150,150,20,20,100,30,0.05,5,0.1,1.5,40
0,1,ミノタウロス,8,180,180,25,25,200,25,0.1,15,0.2,1.8,60
0,1,リッチ,9,160,160,60,60,300,25,0.15,10,0.3,2.5,80
0,1,サイクロプス,7,140,140,20,20,150,20,0.05,8,0.1,1.5,35
